City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,College,US,2021-08-14 00:54:31,64.8569,-147.8028,61.0,58,90,3.0
253,Nekrasovskiy,RU,2021-08-14 00:55:17,56.0667,37.5,59.56,88,0,4.47
254,Lorengau,PG,2021-08-14 00:55:17,-2.0226,147.2712,85.32,67,53,11.99
255,Ballina,AU,2021-08-14 00:55:17,-28.8667,153.5667,67.96,83,75,2.3
256,Ca Mau,VN,2021-08-14 00:55:18,9.1769,105.15,83.53,75,100,5.5
257,Agirish,RU,2021-08-14 00:55:18,61.9247,63.0231,57.9,76,5,5.84
258,Longyearbyen,SJ,2021-08-14 00:55:18,78.2186,15.6401,39.04,81,20,10.36
259,Prado,BR,2021-08-14 00:55:19,-17.3411,-39.2208,69.37,81,1,5.88
260,Tres Picos,MX,2021-08-14 00:55:19,15.8667,-93.5333,81.25,84,100,0.85
261,Gurmatkal,IN,2021-08-14 00:55:20,16.8667,77.4,72.46,86,100,10.78
262,Auki,SB,2021-08-14 00:55:20,-8.7676,160.7034,82.63,76,26,2.15
263,Meulaboh,ID,2021-08-14 00:55:20,4.1363,96.1285,74.77,94,100,3.22
264,Manacapuru,BR,2021-08-14 00:55:21,-3.2997,-60.6206,75.78,84,100,6.98
265,Ruteng,ID,2021-08-14 00:55:21,-8.6136,120.4721,70.86,66,93,1.77
266,Port-Cartier,CA,2021-08-14 00:55:21,50.0334,-66.8654,68.22,67,88,4.59
267,Quesnel,CA,2021-08-14 00:55:21,52.9999,-122.5029,97.3,17,1,8.05
268,Kalanwali,IN,2021-08-14 00:55:22,29.85,74.95,86.95,50,7,10.96
269,Renqiu,CN,2021-08-14 00:55:22,38.6989,116.0936,73.06,83,100,2.64
270,Birao,CF,2021-08-14 00:55:23,10.2849,22.7882,70.39,97,100,5.06
271,Porbandar,IN,2021-08-14 00:55:23,21.6422,69.6093,80.22,81,100,16.28
272,Havre-Saint-Pierre,CA,2021-08-14 00:55:23,50.2334,-63.5986,62.96,94,1,4.61
273,Muravlenko,RU,2021-08-14 00:55:24,63.7898,74.523,56.26,93,100,4.72
274,Namatanai,PG,2021-08-14 00:55:24,-3.6667,152.4333,84.63,69,84,7.05
275,Coquimbo,CL,2021-08-14 00:55:24,-29.9533,-71.3436,51.53,81,0,6.91
276,Miedzyrzec Podlaski,PL,2021-08-14 00:55:25,51.9864,22.7825,61.02,72,100,7.45
277,Labuhan,ID,2021-08-14 00:55:25,-6.8844,112.2051,80.15,74,2,7.74
278,San Rafael,AR,2021-08-14 00:55:26,-34.6177,-68.3301,52.9,32,0,7.83
279,Yatou,CN,2021-08-14 00:55:26,37.15,122.3833,78.91,65,2,11.07
280,Umea,SE,2021-08-14 00:55:26,63.8284,20.2597,62.53,100,90,3.44
281,Huangchuan,CN,2021-08-14 00:55:26,32.1272,115.0394,70.3,94,100,9.48
